filename,qt_error,qrs_error,tpeakqt_error,tmag_error,HR_error,num_beats_error,num_removed_beats_error,median_sig_corr_error,baseline,missing_lead,hf_noise,lf_noise,probability,NNet_prob_flag,NNet_NaN
166.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
168.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
169.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
17.dat,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
170.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
171.dat,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
172.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
174.dat,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
175.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
177.dat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
179.dat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
181.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
182.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
183.dat,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
184.dat,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
187.dat,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
188.dat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
189.dat,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
191.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
192.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
193.dat,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
194.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
198.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
199.dat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
22.dat,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
25.dat,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
27.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
30.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
31.dat,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32.dat,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
35.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
39.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
4.dat,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0
40.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
41.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
42.dat,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
43.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
44.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
48.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
49.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5.dat,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
50.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
53.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
54.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
57.dat,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
59.dat,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6.dat,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
63.dat,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
64.dat,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
66.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
67.dat,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
68.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
72.dat,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
73.dat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
76.dat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78.dat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
79.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
80.dat,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
81.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
84.dat,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
89.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
9.dat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90.dat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91.dat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92.dat,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
93.dat,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
95.dat,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
98.dat,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
